stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
5011,5011,"S. Marco-San Zaccaria ""D""",,45.433456,12.342809,,,,,,
5012,5012,"S. Marco-San Zaccaria ""C""",,45.433491,12.343048,,,,,,
5013,5013,"S. Marco-San Zaccaria ""F""",,45.433342,12.342007,,,,,,
5014,5014,"S. Marco-San Zaccaria ""E""",,45.433384,12.342215,,,,,,
5015,5015,S. Marta,,45.433571,12.311260,,,,,,
5017,5017,Caroman,,45.243614,12.294001,,,,,,
5018,5018,Certosa,,45.430523,12.367644,,,,,,
5019,5019,Celestia,,45.439079,12.349658,,,,,,
5020,5020,Ospedale,,45.440880,12.344753,,,,,,
5021,5021,S. Giorgio,,45.429470,12.342235,,,,,,
5022,5022,"Giudecca Palanca ""B""",,45.426849,12.325638,,,,,,
5023,5023,"Sacca Fisola ""A""",,45.429008,12.315648,,,,,,
5024,5024,"Tronchetto ""B""",,45.440094,12.306348,,,,,,
5025,5025,"Tronchetto ""A""",,45.440308,12.306533,,,,,,
5026,5026,Tronchetto Ferry,,45.438023,12.303988,,,,,,
5027,5027,"P.le Roma ""C""",,45.439850,12.317839,,,,,,
5028,5028,"P.le Roma ""E""",,45.439388,12.318463,,,,,,
5029,5029,"P.le Roma ""D""",,45.439556,12.318337,,,,,,
5030,5030,"P.le Roma ""F""",,45.438923,12.318830,,,,,,
5031,5031,"P.le Roma ""G""",,45.438816,12.319038,,,,,,
5032,5032,"Ferrovia ""B""",,45.440937,12.322042,,,,,,
5001,5001,"Lido S.M.E. ""B""",,45.417992,12.368725,,,,,,
5002,5002,"Lido S.M.E. ""C""",,45.417683,12.368217,,,,,,
5003,5003,"Lido S.M.E. ""D""",,45.417480,12.367735,,,,,,
5004,5004,"S.Elena-Stadio Penzo ""B""",,45.425320,12.360782,,,,,,
5005,5005,"S.Elena-Stadio Penzo ""C""",,45.425426,12.360565,,,,,,
5006,5006,"Giardini Biennale ""B""",,45.429047,12.355934,,,,,,
5007,5007,"Giardini ""B""",,45.429848,12.354835,,,,,,
5008,5008,"Arsenale ""A""",,45.432774,12.348552,,,,,,
5009,5009,"S. Marco-San Zaccaria ""A""",,45.433395,12.344964,,,,,,
5010,5010,Fusina,,45.418373,12.258713,,,,,,
